group,path,before_status,after_status,before_browser_ttfb_ms,after_browser_ttfb_ms,browser_ttfb_improvement_pct,before_fcp_ms,after_fcp_ms,fcp_improvement_pct,before_lcp_ms,after_lcp_ms,lcp_improvement_pct,before_cls,after_cls,cls_delta,before_tbt_approx_ms,after_tbt_approx_ms,tbt_approx_improvement_pct,before_transfer_bytes,after_transfer_bytes,transfer_improvement_pct,before_request_count,after_request_count,request_count_delta,before_http_median_ttfb_ms,after_http_median_ttfb_ms,http_median_ttfb_improvement_pct,before_http_median_total_ms,after_http_median_total_ms,http_median_total_improvement_pct,before_http_median_html_bytes,after_http_median_html_bytes,http_median_html_improvement_pct,before_effective_url,after_effective_url
dynamic,/challenge/24,200,200,275.9,219.4,20.4784,1436,1200,16.4345,1436,1244,13.3705,0.0001,0.0001,0,0,0,,776836,613913,20.9726,62,36,-26,613.5,608,0.8965,800.1,819.3000000000001,-2.3997,20639,14997,27.3366,https://aoe2war.com/challenge/24,https://aoe2war.com/challenge/24
dynamic,/champions/world,200,200,868.1,210.7,75.7286,2852,1436,49.6494,2852,2212,22.4404,0.0001,0.0001,0,0,0,,884923,791424,10.5658,65,46,-19,1748.3,603.6,65.475,1938.5,1261.4,34.9291,18794,14008,25.4656,https://aoe2war.com/champions/world,https://aoe2war.com/champions/world
dynamic,/clans/mystikal,200,200,237.4,208.2,12.2999,1288,1140,11.4907,1288,1184,8.0745,0.0001,0.1815,0.1814,0,0,,624132,471868,24.3961,64,38,-26,607.1,588.3000000000001,3.0967,793.2,772.8000000000001,2.5719,16713,11949,28.5048,https://aoe2war.com/clans/mystikal,https://aoe2war.com/clans/mystikal
dynamic,/forum/thread/wolo-chronicles-001-the-kingdom-has-no-pause-button,200,200,331.5,204.1,38.4314,1660,1148,30.8434,1660,1156,30.3614,0.0001,0.0001,0,0,0,,755611,617843,18.2327,63,39,-24,633.1999999999999,596.7,5.7644,821.3000000000001,783.5999999999999,4.5903,29102,24228,16.748,https://aoe2war.com/forum/thread/wolo-chronicles-001-the-kingdom-has-no-pause-button,https://aoe2war.com/forum/thread/wolo-chronicles-001-the-kingdom-has-no-pause-button
dynamic,/game-stats/16218,200,200,250.9,202.3,19.3703,1632,1116,31.6176,1632,1116,31.6176,0.0002,0.2289,0.2287,0,0,,761300,609247,19.9728,73,47,-26,623.8000000000001,577.7,7.3902,801.4,765.1,4.5296,21020,15807,24.8002,https://aoe2war.com/game-stats/16218,https://aoe2war.com/game-stats/16218
dynamic,/game-stats/16218/review,200,200,464,204.7,55.8836,1688,1204,28.673,1688,1616,4.2654,0.411,0.0002,-0.4108,0,0,,788660,620181,21.3627,70,37,-33,602.8,578.7,3.998,769.2,759.4,1.2741,13264,7645,42.3628,https://aoe2war.com/game-stats/16218/review,https://aoe2war.com/game-stats/16218/review
dynamic,/game-stats/live/platform%3Ada0072cb-9276-7a40-bd22-e5174643a611,200,200,551.6,316.7,42.5852,1984,1284,35.2823,1984,1308,34.0726,0.0001,0.0001,0,0,0,,811500,478641,41.0177,64,36,-28,790.3,590.4000000000001,25.2942,979.6,780.5999999999999,20.3144,22078,17921,18.8287,https://aoe2war.com/game-stats/live/platform%3Ada0072cb-9276-7a40-bd22-e5174643a611,https://aoe2war.com/game-stats/live/platform%3Ada0072cb-9276-7a40-bd22-e5174643a611
dynamic,/matchups/c_u_0df73bdbb64646c19e4a9bfd225b3285/n_Seedy_SI69,200,200,822.1,202,75.4288,2568,1192,53.5826,2568,1200,53.271,0.0001,0.0001,0,0,0,,742640,590245,20.5207,63,36,-27,1083.1,591.9,45.3513,1271.2,1046.2,17.6998,18176,13003,28.4606,https://aoe2war.com/matchups/c_u_0df73bdbb64646c19e4a9bfd225b3285/n_Seedy_SI69,https://aoe2war.com/matchups/c_u_0df73bdbb64646c19e4a9bfd225b3285/n_Seedy_SI69
dynamic,/matchups/team/WyJjX3VfMGRmNzNiZGJiNjQ2NDZjMTllNGE5YmZkMjI1YjMyODUiLCJjX3VfMTc4MTYzODQzNjFmNGM4YThkNTdjNjkzNDI2NTEwMGIiLCJuX2NvcHBlcl9oZWFkX3JvYWQiXQ/WyJuX2Nhcmxvc2lzbSIsIm5fUm9NYV9WaWNUb1JfIiwibl9UYW5rVG9wTWFzdGVyIl0,200,200,808.5,226.6,71.9728,2816,1216,56.8182,2816,1224,56.5341,0.0001,0.0001,0,0,0,,744850,593423,20.3299,66,39,-27,1053.1,593.6,43.6331,1243.4,779.5999999999999,37.3009,20061,14646,26.9927,https://aoe2war.com/matchups/team/WyJjX3VfMGRmNzNiZGJiNjQ2NDZjMTllNGE5YmZkMjI1YjMyODUiLCJjX3VfMTc4MTYzODQzNjFmNGM4YThkNTdjNjkzNDI2NTEwMGIiLCJuX2NvcHBlcl9oZWFkX3JvYWQiXQ/WyJuX2Nhcmxvc2lzbSIsIm5fUm9NYV9WaWNUb1JfIiwibl9UYW5rVG9wTWFzdGVyIl0,https://aoe2war.com/matchups/team/WyJjX3VfMGRmNzNiZGJiNjQ2NDZjMTllNGE5YmZkMjI1YjMyODUiLCJjX3VfMTc4MTYzODQzNjFmNGM4YThkNTdjNjkzNDI2NTEwMGIiLCJuX2NvcHBlcl9oZWFkX3JvYWQiXQ/WyJuX2Nhcmxvc2lzbSIsIm5fUm9NYV9WaWNUb1JfIiwibl9UYW5rVG9wTWFzdGVyIl0
dynamic,/oracle/three-thousand-citizens,200,200,229.7,209.1,8.9682,1224,1176,3.9216,1224,1200,1.9608,0.0001,0.0001,0,0,0,,787782,608296,22.7837,63,35,-28,625.5,592.1999999999999,5.3237,804,789.8,1.7662,19535,14813,24.172,https://aoe2war.com/oracle/three-thousand-citizens,https://aoe2war.com/oracle/three-thousand-citizens
dynamic,/players/u_626ea6497a984dabbc2338ef54c5d333,200,200,2393.9,210.4,91.211,3620,1192,67.0718,3620,1192,67.0718,0.0001,0.3267,0.3266,0,0,,842724,681625,19.1165,82,58,-24,3116.7,593.5,80.9574,3305.1,1660.9,49.7474,30600,25361,17.1209,https://aoe2war.com/players/u_626ea6497a984dabbc2338ef54c5d333,https://aoe2war.com/players/u_626ea6497a984dabbc2338ef54c5d333
dynamic,/players/by-name/Emaren,200,200,1672.9,198,88.1643,3080,948,69.2208,3080,948,69.2208,0.0001,0.3267,0.3266,0,0,,840821,1069138,-27.1541,82,87,5,2145.2,584.3000000000001,72.7624,2495.8,754.5,69.7692,30600,7655,74.9837,https://aoe2war.com/players/u_626ea6497a984dabbc2338ef54c5d333,https://aoe2war.com/players/u_626ea6497a984dabbc2338ef54c5d333
dynamic,/staking/stakers/jim,200,200,232.7,206.3,11.3451,1256,852,32.1656,1256,852,32.1656,0.0001,0.0001,0,0,0,,754883,611655,18.9735,61,38,-23,621.1999999999999,573.3000000000001,7.7109,803.8,773,3.8318,19095,14501,24.0587,https://aoe2war.com/staking/stakers/jim,https://aoe2war.com/staking/stakers/jim
dynamic,/tournaments/aoe2hd-community-builders-cup,200,200,266.2,201.2,24.4177,1352,1140,15.6805,1352,1156,14.497,0.0015,0.0015,0,0,0,,744992,654326,12.1701,61,41,-20,615.9,581.9,5.5204,797.1,768.7,3.5629,22355,16881,24.4867,https://aoe2war.com/tournaments/aoe2hd-community-builders-cup,https://aoe2war.com/tournaments/aoe2hd-community-builders-cup
dynamic,/watch/platform%3Ada0072cb-9276-7a40-bd22-e5174643a611,200,200,401.7,209.8,47.772,1436,988,31.1978,1436,1016,29.2479,0.0001,0.0001,0,0,0,,756080,602689,20.2877,65,37,-28,762.5999999999999,589.1999999999999,22.738,952.6,885.5,7.0439,19338,13328,31.0787,https://aoe2war.com/watch/platform%3Ada0072cb-9276-7a40-bd22-e5174643a611,https://aoe2war.com/watch/platform%3Ada0072cb-9276-7a40-bd22-e5174643a611
